122.4426,120.2852,123.0893,124.467,125.3836,123.851,122.3676,122.9784,0,0,0,0,0,0,121.74,121.7578,121.399,122.1497,122.6486,122.9486,122.6993,122.3279,123.3171,121.8363,121.9015,122.0923,123.3878,122.2946,122.4663,122.1101,123.9,123.2807,123.3359
121.0644,120.8804,121.7924,121.7428,122.4277,122.4482,121.943,122.021,0,0,0,0,0,0,120.4797,120.4877,120.9059,121.2016,121.0838,120.8608,120.4708,122.0214,120.8811,120.0537,117.4363,120.9885,119.5291,120.1474,120.0786,121.2336,121.2138,121.6777,120.0161
121.0924,122.267,121.8948,118.4692,117.8403,122.0432,119.9124,121.9684,0,0,0,0,0,0,119.6673,120.9873,121.4093,120.8401,120.8536,120.7192,121.4061,121.8695,121.5877,120.4815,116.9862,121.4054,118.7563,120.5801,120.0463,118.0499,117.6343,119.9653,120.2472
121.6646,121.9008,122.2372,120.6159,119.3264,122.4146,121.4473,121.7266,0,0,0,0,0,0,120.47,121.4793,121.1938,120.5403,120.7175,120.9945,121.2133,121.0203,121.5071,120.3965,117.5834,119.1062,118.7544,120.0432,118.8535,118.0119,117.2675,119.9506,118.8424
121.547,120.8188,121.7293,117.5444,121.7235,122.7206,121.5832,121.7739,0,0,0,0,0,0,119.9365,119.9111,120.3909,119.7188,120.1151,120.7946,120.6124,121.4967,120.404,118.6246,121.3633,118.8244,119.6228,119.7327,120.3203,117.8604,116.9131,120.0442,120.0899
121.5686,121.0951,122.164,119.985,117.2779,121.5144,121.8557,122.3771,0,0,0,0,0,0,120.586,119.1449,121.3627,119.7926,121.2616,120.154,121.2716,119.776,121.5082,120.0868,120.4613,119.3177,118.6891,119.0731,118.957,118.0703,116.7059,120.4979,119.4212
121.1304,120.6183,121.7885,116.7012,117.7859,121.5072,121.2528,122.8711,0,0,0,0,0,0,119.4565,119.8493,120.5668,119.8616,118.7661,117.7994,121.2832,120.1048,121.587,119.1958,119.5037,120.5,118.7602,120.6122,119.4797,117.0653,117.1198,119.7641,120.712
120.9994,121.3679,121.9285,119.6879,118.2465,119.9253,120.1703,119.7939,0,0,0,0,0,0,119.4958,119.1997,119.3233,119.2347,118.91,118.6774,120.5469,119.4745,120.2379,118.7228,119.0067,119.9126,118.8364,118.1655,119.2869,117.0493,120.1709,120.0884,117.7669
120.1775,120.8711,121.2624,118.9264,118.331,120.5456,119.7826,120.1719,0,0,0,0,0,0,118.7484,118.8745,118.6605,118.9227,118.8829,118.4816,119.1924,120.2339,118.6858,118.1084,116.5968,118.4366,119.1927,119.5926,119.0705,120.6165,119.4968,118.8104,120.3609
121.0402,121.4188,121.5043,121.3948,120.8191,122.1739,121.4584,121.7904,0,0,0,0,0,0,120.4935,119.8352,119.8984,120.6805,120.2247,120.3539,120.6456,120.3822,120.8193,120.1832,120.7093,119.5782,119.6287,120.2198,120.3605,117.3943,120.8791,119.7275,120.8006
121.4951,121.0922,121.956,121.2918,121.3752,121.5408,121.183,120.801,0,0,0,0,0,0,120.2518,118.6568,119.5877,120.8809,120.616,120.8668,121.2842,120.363,121.6949,116.9725,118.8342,119.0896,120.1171,119.7688,120.3071,117.2701,120.0569,118.7064,120.0673
